"Neighbourhood","Ward","City","FID"
"Northbrook Heights","2","Fredericton","376"
"Northbrook Heights","2","Fredericton","377"
"Northbrook Heights","2","Fredericton","378"
"Northbrook Heights","2","Fredericton","379"
"Northbrook Heights","1","Fredericton","380"
"Northbrook Heights","2","Fredericton","381"
"Northbrook Heights","2","Fredericton","382"
"Brookside Mini Home Park","2","Fredericton","383"
"Brookside Mini Home Park","1","Fredericton","384"
"Brookside Mini Home Park","2","Fredericton","385"
"Brookside Mini Home Park","2","Fredericton","386"
"Brookside Mini Home Park","2","Fredericton","387"
"Heron Springs","2","Fredericton","388"
"Heron Springs","2","Fredericton","389"
"Heron Springs","2","Fredericton","390"
"Royal Road","2","Fredericton","391"
"Royal Road","2","Fredericton","392"
"Royal Road","2","Fredericton","393"
"Royal Road","2","Fredericton","394"
"Royal Road","2","Fredericton","395"
"Royal Road","2","Fredericton","396"
"Royal Road","2","Fredericton","397"
"Fulton Heights","3","Fredericton","398"
"Fulton Heights","2","Fredericton","399"
"Fulton Heights","3","Fredericton","400"
"Downtown","10","Fredericton","401"
"Downtown","11","Fredericton","402"
"Downtown","11","Fredericton","403"
"Downtown","10","Fredericton","404"
"Downtown","10","Fredericton","405"
"Downtown","10","Fredericton","406"
"Main Street","2","Fredericton","407"
"Fulton Heights","3","Fredericton","408"
"Downtown","10","Fredericton","409"
"Main Street","2","Fredericton","410"
"Downtown","10","Fredericton","411"
"Downtown","10","Fredericton","412"
"Downtown","10","Fredericton","413"
"Downtown","10","Fredericton","414"
"Downtown","10","Fredericton","415"
"Downtown","10","Fredericton","416"
"Downtown","10","Fredericton","417"
"Downtown","10","Fredericton","418"
"Downtown","10","Fredericton","419"
"Downtown","10","Fredericton","420"
"Downtown","10","Fredericton","421"
"Downtown","10","Fredericton","422"
"Downtown","10","Fredericton","423"
"Downtown","10","Fredericton","424"
"Downtown","10","Fredericton","425"
"Downtown","10","Fredericton","426"
"Downtown","10","Fredericton","427"
"Downtown","10","Fredericton","428"
"Downtown","11","Fredericton","429"
"Downtown","10","Fredericton","430"
"Downtown","10","Fredericton","431"
"Downtown","10","Fredericton","432"
"Downtown","10","Fredericton","433"
"Downtown","11","Fredericton","434"
"Downtown","11","Fredericton","435"
"Downtown","10","Fredericton","436"
"Downtown","10","Fredericton","437"
"Downtown","11","Fredericton","438"
"Downtown","11","Fredericton","439"
"Downtown","10","Fredericton","440"
"Downtown","10","Fredericton","441"
"Downtown","11","Fredericton","442"
"Downtown","11","Fredericton","443"
"Downtown","10","Fredericton","444"
"Downtown","10","Fredericton","445"
"Downtown","10","Fredericton","446"
"Downtown","10","Fredericton","447"
"Downtown","10","Fredericton","448"
"Downtown","10","Fredericton","449"
"Downtown","10","Fredericton","450"
"Downtown","11","Fredericton","451"
"Downtown","10","Fredericton","452"
"Downtown","11","Fredericton","453"
"Downtown","10","Fredericton","454"
"Downtown","10","Fredericton","455"
"Downtown","11","Fredericton","456"
"Downtown","11","Fredericton","457"
"Downtown","11","Fredericton","458"
"Downtown","11","Fredericton","459"
"Downtown","10","Fredericton","460"
"Downtown","10","Fredericton","461"
"Downtown","10","Fredericton","462"
"Downtown","10","Fredericton","463"
"Downtown","10","Fredericton","464"
"Downtown","10","Fredericton","465"
"Main Street","2","Fredericton","466"
"Downtown","11","Fredericton","467"
"Fulton Heights","3","Fredericton","468"
"Main Street","3","Fredericton","469"
"Main Street","3","Fredericton","470"
"Downtown","10","Fredericton","471"
"Downtown","10","Fredericton","472"
"Downtown","10","Fredericton","473"
"Downtown","10","Fredericton","474"
"Downtown","11","Fredericton","475"
"Downtown","10","Fredericton","476"
"Downtown","11","Fredericton","477"
"Downtown","10","Fredericton","478"
"Downtown","10","Fredericton","479"
"Downtown","11","Fredericton","480"
"Downtown","10","Fredericton","481"
"Downtown","10","Fredericton","482"
"Downtown","10","Fredericton","483"
"Downtown","10","Fredericton","484"
"Downtown","11","Fredericton","485"
"Downtown","10","Fredericton","486"
"Downtown","10","Fredericton","487"
"Downtown","10","Fredericton","488"
"Downtown","10","Fredericton","489"
"Downtown","10","Fredericton","490"
"Downtown","11","Fredericton","491"
"Downtown","10","Fredericton","492"
"Downtown","10","Fredericton","493"
"Downtown","11","Fredericton","494"
"Downtown","10","Fredericton","495"
"Downtown","10","Fredericton","496"
"Downtown","10","Fredericton","497"
"Downtown","11","Fredericton","498"
"Downtown","11","Fredericton","499"
"Downtown","10","Fredericton","500"
"Downtown","10","Fredericton","501"
"Downtown","10","Fredericton","502"
"Downtown","10","Fredericton","503"
"Downtown","10","Fredericton","504"
"Downtown","11","Fredericton","505"
"Downtown","11","Fredericton","506"
"Downtown","10","Fredericton","507"
"Fulton Heights","3","Fredericton","508"
"Fulton Heights","3","Fredericton","509"
"Fulton Heights","3","Fredericton","510"
"Fulton Heights","3","Fredericton","511"
"Fulton Heights","3","Fredericton","512"
"Fulton Heights","3","Fredericton","513"
"Fulton Heights","2","Fredericton","514"
"Fulton Heights","3","Fredericton","515"
"Fulton Heights","3","Fredericton","516"
"Fulton Heights","3","Fredericton","517"
"Fulton Heights","3","Fredericton","518"
"Fulton Heights","3","Fredericton","519"
"Fulton Heights","2","Fredericton","520"
"Fulton Heights","3","Fredericton","521"
"Fulton Heights","3","Fredericton","522"
"Fulton Heights","3","Fredericton","523"
"Fulton Heights","3","Fredericton","524"
"Fulton Heights","2","Fredericton","525"
"Fulton Heights","3","Fredericton","526"
"Fulton Heights","3","Fredericton","527"
"Fulton Heights","3","Fredericton","528"
"Fulton Heights","3","Fredericton","529"
"Fulton Heights","2","Fredericton","530"
"Fulton Heights","3","Fredericton","531"
"Fulton Heights","3","Fredericton","532"
"Fulton Heights","3","Fredericton","533"
"Fulton Heights","3","Fredericton","534"
"Fulton Heights","3","Fredericton","535"
"Fulton Heights","3","Fredericton","536"
"Fulton Heights","2","Fredericton","537"
"Fulton Heights","2","Fredericton","538"
"Main Street","3","Fredericton","539"
"Main Street","2","Fredericton","540"
"Main Street","2","Fredericton","541"
"Main Street","3","Fredericton","542"
"Main Street","2","Fredericton","543"
"Main Street","2","Fredericton","544"
"Main Street","3","Fredericton","545"
"Main Street","2","Fredericton","546"
"Main Street","3","Fredericton","547"
"Main Street","2","Fredericton","548"
"Main Street","2","Fredericton","549"
"Main Street","2","Fredericton","550"
"Main Street","2","Fredericton","551"
"Main Street","2","Fredericton","552"
"Main Street","2","Fredericton","553"
"Main Street","2","Fredericton","554"
"Main Street","2","Fredericton","555"
"Main Street","3","Fredericton","556"
"Main Street","2","Fredericton","557"
"Main Street","2","Fredericton","558"
"Main Street","2","Fredericton","559"
"Main Street","2","Fredericton","560"
"Main Street","2","Fredericton","561"
"Main Street","2","Fredericton","562"
"Main Street","2","Fredericton","563"
"Main Street","2","Fredericton","564"
"Main Street","2","Fredericton","565"
"Main Street","3","Fredericton","566"
"Main Street","2","Fredericton","567"
"Main Street","3","Fredericton","568"
"Main Street","2","Fredericton","569"
"Main Street","2","Fredericton","570"
"Main Street","3","Fredericton","571"
"Main Street","2","Fredericton","572"
"Main Street","2","Fredericton","573"
"Main Street","3","Fredericton","574"
"Main Street","2","Fredericton","575"
"Main Street","2","Fredericton","576"
"Main Street","2","Fredericton","577"
"Main Street","2","Fredericton","578"
"Main Street","2","Fredericton","579"
"Main Street","2","Fredericton","580"
"Main Street","2","Fredericton","581"
"Main Street","2","Fredericton","582"
"Main Street","2","Fredericton","583"
"Main Street","2","Fredericton","584"
"Main Street","2","Fredericton","585"
"Main Street","2","Fredericton","586"
"Main Street","2","Fredericton","587"
"Main Street","2","Fredericton","588"
"Main Street","2","Fredericton","589"
"Main Street","2","Fredericton","590"
"Main Street","3","Fredericton","591"
"Main Street","2","Fredericton","592"
"Main Street","2","Fredericton","593"
"Main Street","2","Fredericton","594"
"Main Street","2","Fredericton","595"
"Main Street","2","Fredericton","596"
"Main Street","2","Fredericton","597"
"Main Street","2","Fredericton","598"
"Main Street","2","Fredericton","599"
"Main Street","2","Fredericton","600"
"Main Street","2","Fredericton","601"
"Main Street","2","Fredericton","602"
"Main Street","2","Fredericton","603"
"Main Street","3","Fredericton","604"
"Golf Club","12","Fredericton","605"
"Main Street","2","Fredericton","606"
"Main Street","2","Fredericton","607"
"Main Street","3","Fredericton","608"
"Main Street","2","Fredericton","609"
"Main Street","2","Fredericton","610"
"Main Street","2","Fredericton","611"
"Main Street","2","Fredericton","612"
"Regiment Creek","1","Fredericton","613"
"Gilridge Estates","1","Fredericton","614"
"Gilridge Estates","1","Fredericton","615"
"Gilridge Estates","1","Fredericton","616"
"Silverwood","12","Fredericton","617"
"Silverwood","12","Fredericton","618"
"Silverwood","12","Fredericton","619"
"Silverwood","12","Fredericton","620"
"Silverwood","12","Fredericton","621"
"Springhill","12","Fredericton","622"
"Nethervue Minihome Park","12","Fredericton","623"
"Monteith / Talisman","12","Fredericton","624"
"Monteith / Talisman","12","Fredericton","625"
"Monteith / Talisman","12","Fredericton","626"
"Monteith / Talisman","12","Fredericton","627"
"Garden Creek","12","Fredericton","628"
"Garden Creek","12","Fredericton","629"
"Garden Creek","12","Fredericton","630"
"Garden Creek","12","Fredericton","631"
"Garden Creek","12","Fredericton","632"
"Garden Creek","12","Fredericton","633"
"Garden Creek","12","Fredericton","634"
"Garden Creek","12","Fredericton","635"
"Garden Creek","12","Fredericton","636"
"Garden Creek","12","Fredericton","637"
"Garden Creek","12","Fredericton","638"
"Garden Creek","12","Fredericton","639"
"Garden Creek","12","Fredericton","640"
"Highpoint Ridge","12","Fredericton","641"
"Highpoint Ridge","12","Fredericton","642"
"Highpoint Ridge","12","Fredericton","643"
"Highpoint Ridge","12","Fredericton","644"
"Highpoint Ridge","12","Fredericton","645"
"Greenwood Minihome Park","12","Fredericton","646"
"Downtown","11","Fredericton","647"
"Greenwood Minihome Park","12","Fredericton","648"
"Golf Club","12","Fredericton","649"
"Golf Club","12","Fredericton","650"
"Golf Club","12","Fredericton","651"
"Golf Club","12","Fredericton","652"
"Platt","10","Fredericton","653"
"Golf Club","12","Fredericton","654"
"Platt","11","Fredericton","655"
"Platt","10","Fredericton","656"
"Platt","10","Fredericton","657"
"Platt","11","Fredericton","658"
"Platt","11","Fredericton","659"
"Platt","11","Fredericton","660"
"Platt","10","Fredericton","661"
"Platt","11","Fredericton","662"
"Platt","11","Fredericton","663"
"Platt","10","Fredericton","664"
"Platt","10","Fredericton","665"
"Platt","11","Fredericton","666"
"Platt","11","Fredericton","667"
"Platt","10","Fredericton","668"
"Platt","10","Fredericton","669"
"Platt","10","Fredericton","670"
"Platt","11","Fredericton","671"
"Platt","10","Fredericton","672"
"Platt","11","Fredericton","673"
"Platt","11","Fredericton","674"
"Platt","11","Fredericton","675"
"Platt","11","Fredericton","676"
"Platt","11","Fredericton","677"
"Platt","10","Fredericton","678"
"Platt","10","Fredericton","679"
"Platt","11","Fredericton","680"
"Platt","11","Fredericton","681"
"Platt","10","Fredericton","682"
"Platt","10","Fredericton","683"
"Platt","10","Fredericton","684"
"Platt","11","Fredericton","685"
"Platt","10","Fredericton","686"
"Platt","10","Fredericton","687"
"Platt","10","Fredericton","688"
"Platt","10","Fredericton","689"
"Platt","11","Fredericton","690"
"Platt","10","Fredericton","691"
"Platt","11","Fredericton","692"
"Platt","10","Fredericton","693"
"Platt","11","Fredericton","694"
"Platt","11","Fredericton","695"
"Platt","11","Fredericton","696"
"Platt","11","Fredericton","697"
"Platt","10","Fredericton","698"
"Platt","10","Fredericton","699"
